"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Texas"	"48"	"2013"	"2013"	"Feb., 2013"	"2013/02"	14333	Not Applicable	Not Applicable
	"Texas"	"48"	"2013"	"2013"	"Mar., 2013"	"2013/03"	15763	Not Applicable	Not Applicable
"Total"	"Texas"	"48"	"2013"	"2013"			30096	Not Applicable	Not Applicable
	"Texas"	"48"	"2014"	"2014"	"Feb., 2014"	"2014/02"	14948	Not Applicable	Not Applicable
	"Texas"	"48"	"2014"	"2014"	"Mar., 2014"	"2014/03"	16101	Not Applicable	Not Applicable
"Total"	"Texas"	"48"	"2014"	"2014"			31049	Not Applicable	Not Applicable
	"Texas"	"48"	"2015"	"2015"	"Feb., 2015"	"2015/02"	15484	Not Applicable	Not Applicable
	"Texas"	"48"	"2015"	"2015"	"Mar., 2015"	"2015/03"	16979	Not Applicable	Not Applicable
"Total"	"Texas"	"48"	"2015"	"2015"			32463	Not Applicable	Not Applicable
	"Texas"	"48"	"2016"	"2016"	"Feb., 2016"	"2016/02"	16102	Not Applicable	Not Applicable
	"Texas"	"48"	"2016"	"2016"	"Mar., 2016"	"2016/03"	16726	Not Applicable	Not Applicable
"Total"	"Texas"	"48"	"2016"	"2016"			32828	Not Applicable	Not Applicable
	"Texas"	"48"	"2017"	"2017"	"Feb., 2017"	"2017/02"	16344	Not Applicable	Not Applicable
	"Texas"	"48"	"2017"	"2017"	"Mar., 2017"	"2017/03"	17424	Not Applicable	Not Applicable
"Total"	"Texas"	"48"	"2017"	"2017"			33768	Not Applicable	Not Applicable
	"Texas"	"48"	"2018"	"2018"	"Feb., 2018"	"2018/02"	17045	Not Applicable	Not Applicable
	"Texas"	"48"	"2018"	"2018"	"Mar., 2018"	"2018/03"	17234	Not Applicable	Not Applicable
"Total"	"Texas"	"48"	"2018"	"2018"			34279	Not Applicable	Not Applicable
"Total"	"Texas"	"48"					194483	Not Applicable	Not Applicable
	"Utah"	"49"	"2013"	"2013"	"Feb., 2013"	"2013/02"	1331	Not Applicable	Not Applicable
	"Utah"	"49"	"2013"	"2013"	"Mar., 2013"	"2013/03"	1452	Not Applicable	Not Applicable
"Total"	"Utah"	"49"	"2013"	"2013"			2783	Not Applicable	Not Applicable
	"Utah"	"49"	"2014"	"2014"	"Feb., 2014"	"2014/02"	1261	Not Applicable	Not Applicable
	"Utah"	"49"	"2014"	"2014"	"Mar., 2014"	"2014/03"	1386	Not Applicable	Not Applicable
"Total"	"Utah"	"49"	"2014"	"2014"			2647	Not Applicable	Not Applicable
	"Utah"	"49"	"2015"	"2015"	"Feb., 2015"	"2015/02"	1416	Not Applicable	Not Applicable
	"Utah"	"49"	"2015"	"2015"	"Mar., 2015"	"2015/03"	1493	Not Applicable	Not Applicable
"Total"	"Utah"	"49"	"2015"	"2015"			2909	Not Applicable	Not Applicable
	"Utah"	"49"	"2016"	"2016"	"Feb., 2016"	"2016/02"	1533	Not Applicable	Not Applicable
	"Utah"	"49"	"2016"	"2016"	"Mar., 2016"	"2016/03"	1626	Not Applicable	Not Applicable
"Total"	"Utah"	"49"	"2016"	"2016"			3159	Not Applicable	Not Applicable
	"Utah"	"49"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1448	Not Applicable	Not Applicable
	"Utah"	"49"	"2017"	"2017"	"Mar., 2017"	"2017/03"	1597	Not Applicable	Not Applicable
"Total"	"Utah"	"49"	"2017"	"2017"			3045	Not Applicable	Not Applicable
	"Utah"	"49"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1496	Not Applicable	Not Applicable
	"Utah"	"49"	"2018"	"2018"	"Mar., 2018"	"2018/03"	1554	Not Applicable	Not Applicable
"Total"	"Utah"	"49"	"2018"	"2018"			3050	Not Applicable	Not Applicable
"Total"	"Utah"	"49"					17593	Not Applicable	Not Applicable
	"Vermont"	"50"	"2013"	"2013"	"Feb., 2013"	"2013/02"	466	Not Applicable	Not Applicable
	"Vermont"	"50"	"2013"	"2013"	"Mar., 2013"	"2013/03"	476	Not Applicable	Not Applicable
"Total"	"Vermont"	"50"	"2013"	"2013"			942	Not Applicable	Not Applicable
	"Vermont"	"50"	"2014"	"2014"	"Feb., 2014"	"2014/02"	479	Not Applicable	Not Applicable
	"Vermont"	"50"	"2014"	"2014"	"Mar., 2014"	"2014/03"	498	Not Applicable	Not Applicable
"Total"	"Vermont"	"50"	"2014"	"2014"			977	Not Applicable	Not Applicable
	"Vermont"	"50"	"2015"	"2015"	"Feb., 2015"	"2015/02"	524	Not Applicable	Not Applicable
	"Vermont"	"50"	"2015"	"2015"	"Mar., 2015"	"2015/03"	540	Not Applicable	Not Applicable
"Total"	"Vermont"	"50"	"2015"	"2015"			1064	Not Applicable	Not Applicable
	"Vermont"	"50"	"2016"	"2016"	"Feb., 2016"	"2016/02"	489	Not Applicable	Not Applicable
	"Vermont"	"50"	"2016"	"2016"	"Mar., 2016"	"2016/03"	558	Not Applicable	Not Applicable
"Total"	"Vermont"	"50"	"2016"	"2016"			1047	Not Applicable	Not Applicable
	"Vermont"	"50"	"2017"	"2017"	"Feb., 2017"	"2017/02"	480	Not Applicable	Not Applicable
	"Vermont"	"50"	"2017"	"2017"	"Mar., 2017"	"2017/03"	576	Not Applicable	Not Applicable
"Total"	"Vermont"	"50"	"2017"	"2017"			1056	Not Applicable	Not Applicable
	"Vermont"	"50"	"2018"	"2018"	"Feb., 2018"	"2018/02"	513	Not Applicable	Not Applicable
	"Vermont"	"50"	"2018"	"2018"	"Mar., 2018"	"2018/03"	516	Not Applicable	Not Applicable
"Total"	"Vermont"	"50"	"2018"	"2018"			1029	Not Applicable	Not Applicable
"Total"	"Vermont"	"50"					6115	Not Applicable	Not Applicable
	"Virginia"	"51"	"2013"	"2013"	"Feb., 2013"	"2013/02"	5195	Not Applicable	Not Applicable
	"Virginia"	"51"	"2013"	"2013"	"Mar., 2013"	"2013/03"	5535	Not Applicable	Not Applicable
"Total"	"Virginia"	"51"	"2013"	"2013"			10730	Not Applicable	Not Applicable
	"Virginia"	"51"	"2014"	"2014"	"Feb., 2014"	"2014/02"	5098	Not Applicable	Not Applicable
	"Virginia"	"51"	"2014"	"2014"	"Mar., 2014"	"2014/03"	5608	Not Applicable	Not Applicable
"Total"	"Virginia"	"51"	"2014"	"2014"			10706	Not Applicable	Not Applicable
	"Virginia"	"51"	"2015"	"2015"	"Feb., 2015"	"2015/02"	5602	Not Applicable	Not Applicable
	"Virginia"	"51"	"2015"	"2015"	"Mar., 2015"	"2015/03"	5791	Not Applicable	Not Applicable
"Total"	"Virginia"	"51"	"2015"	"2015"			11393	Not Applicable	Not Applicable
	"Virginia"	"51"	"2016"	"2016"	"Feb., 2016"	"2016/02"	5520	Not Applicable	Not Applicable
	"Virginia"	"51"	"2016"	"2016"	"Mar., 2016"	"2016/03"	5914	Not Applicable	Not Applicable
"Total"	"Virginia"	"51"	"2016"	"2016"			11434	Not Applicable	Not Applicable
	"Virginia"	"51"	"2017"	"2017"	"Feb., 2017"	"2017/02"	5662	Not Applicable	Not Applicable
	"Virginia"	"51"	"2017"	"2017"	"Mar., 2017"	"2017/03"	6243	Not Applicable	Not Applicable
"Total"	"Virginia"	"51"	"2017"	"2017"			11905	Not Applicable	Not Applicable
	"Virginia"	"51"	"2018"	"2018"	"Feb., 2018"	"2018/02"	5764	Not Applicable	Not Applicable
	"Virginia"	"51"	"2018"	"2018"	"Mar., 2018"	"2018/03"	6011	Not Applicable	Not Applicable
"Total"	"Virginia"	"51"	"2018"	"2018"			11775	Not Applicable	Not Applicable
"Total"	"Virginia"	"51"					67943	Not Applicable	Not Applicable
	"Washington"	"53"	"2013"	"2013"	"Feb., 2013"	"2013/02"	4286	Not Applicable	Not Applicable
	"Washington"	"53"	"2013"	"2013"	"Mar., 2013"	"2013/03"	4571	Not Applicable	Not Applicable
"Total"	"Washington"	"53"	"2013"	"2013"			8857	Not Applicable	Not Applicable
	"Washington"	"53"	"2014"	"2014"	"Feb., 2014"	"2014/02"	4236	Not Applicable	Not Applicable
	"Washington"	"53"	"2014"	"2014"	"Mar., 2014"	"2014/03"	4573	Not Applicable	Not Applicable
"Total"	"Washington"	"53"	"2014"	"2014"			8809	Not Applicable	Not Applicable
	"Washington"	"53"	"2015"	"2015"	"Feb., 2015"	"2015/02"	4337	Not Applicable	Not Applicable
	"Washington"	"53"	"2015"	"2015"	"Mar., 2015"	"2015/03"	4864	Not Applicable	Not Applicable
"Total"	"Washington"	"53"	"2015"	"2015"			9201	Not Applicable	Not Applicable
	"Washington"	"53"	"2016"	"2016"	"Feb., 2016"	"2016/02"	4594	Not Applicable	Not Applicable
	"Washington"	"53"	"2016"	"2016"	"Mar., 2016"	"2016/03"	4931	Not Applicable	Not Applicable
"Total"	"Washington"	"53"	"2016"	"2016"			9525	Not Applicable	Not Applicable
	"Washington"	"53"	"2017"	"2017"	"Feb., 2017"	"2017/02"	4871	Not Applicable	Not Applicable
	"Washington"	"53"	"2017"	"2017"	"Mar., 2017"	"2017/03"	4976	Not Applicable	Not Applicable
"Total"	"Washington"	"53"	"2017"	"2017"			9847	Not Applicable	Not Applicable
	"Washington"	"53"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4606	Not Applicable	Not Applicable
	"Washington"	"53"	"2018"	"2018"	"Mar., 2018"	"2018/03"	5125	Not Applicable	Not Applicable
"Total"	"Washington"	"53"	"2018"	"2018"			9731	Not Applicable	Not Applicable
"Total"	"Washington"	"53"					55970	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2013"	"2013"	"Feb., 2013"	"2013/02"	1744	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2013"	"2013"	"Mar., 2013"	"2013/03"	1994	Not Applicable	Not Applicable
"Total"	"West Virginia"	"54"	"2013"	"2013"			3738	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2014"	"2014"	"Feb., 2014"	"2014/02"	1858	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2014"	"2014"	"Mar., 2014"	"2014/03"	1898	Not Applicable	Not Applicable
"Total"	"West Virginia"	"54"	"2014"	"2014"			3756	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2015"	"2015"	"Feb., 2015"	"2015/02"	1989	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2015"	"2015"	"Mar., 2015"	"2015/03"	1990	Not Applicable	Not Applicable
"Total"	"West Virginia"	"54"	"2015"	"2015"			3979	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2016"	"2016"	"Feb., 2016"	"2016/02"	1856	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2016"	"2016"	"Mar., 2016"	"2016/03"	2020	Not Applicable	Not Applicable
"Total"	"West Virginia"	"54"	"2016"	"2016"			3876	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2017"	"2017"	"Feb., 2017"	"2017/02"	1894	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2017"	"2017"	"Mar., 2017"	"2017/03"	2121	Not Applicable	Not Applicable
"Total"	"West Virginia"	"54"	"2017"	"2017"			4015	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2018"	"2018"	"Feb., 2018"	"2018/02"	1898	Not Applicable	Not Applicable
	"West Virginia"	"54"	"2018"	"2018"	"Mar., 2018"	"2018/03"	2082	Not Applicable	Not Applicable
"Total"	"West Virginia"	"54"	"2018"	"2018"			3980	Not Applicable	Not Applicable
"Total"	"West Virginia"	"54"					23344	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2013"	"2013"	"Feb., 2013"	"2013/02"	4029	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2013"	"2013"	"Mar., 2013"	"2013/03"	4366	Not Applicable	Not Applicable
"Total"	"Wisconsin"	"55"	"2013"	"2013"			8395	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2014"	"2014"	"Feb., 2014"	"2014/02"	4025	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2014"	"2014"	"Mar., 2014"	"2014/03"	4384	Not Applicable	Not Applicable
"Total"	"Wisconsin"	"55"	"2014"	"2014"			8409	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2015"	"2015"	"Feb., 2015"	"2015/02"	4154	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2015"	"2015"	"Mar., 2015"	"2015/03"	4700	Not Applicable	Not Applicable
"Total"	"Wisconsin"	"55"	"2015"	"2015"			8854	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2016"	"2016"	"Feb., 2016"	"2016/02"	4389	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2016"	"2016"	"Mar., 2016"	"2016/03"	4727	Not Applicable	Not Applicable
"Total"	"Wisconsin"	"55"	"2016"	"2016"			9116	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2017"	"2017"	"Feb., 2017"	"2017/02"	4353	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2017"	"2017"	"Mar., 2017"	"2017/03"	4686	Not Applicable	Not Applicable
"Total"	"Wisconsin"	"55"	"2017"	"2017"			9039	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2018"	"2018"	"Feb., 2018"	"2018/02"	4467	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"2018"	"2018"	"Mar., 2018"	"2018/03"	4706	Not Applicable	Not Applicable
"Total"	"Wisconsin"	"55"	"2018"	"2018"			9173	Not Applicable	Not Applicable
"Total"	"Wisconsin"	"55"					52986	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2013"	"2013"	"Feb., 2013"	"2013/02"	353	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2013"	"2013"	"Mar., 2013"	"2013/03"	422	Not Applicable	Not Applicable
"Total"	"Wyoming"	"56"	"2013"	"2013"			775	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2014"	"2014"	"Feb., 2014"	"2014/02"	366	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2014"	"2014"	"Mar., 2014"	"2014/03"	364	Not Applicable	Not Applicable
"Total"	"Wyoming"	"56"	"2014"	"2014"			730	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2015"	"2015"	"Feb., 2015"	"2015/02"	385	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2015"	"2015"	"Mar., 2015"	"2015/03"	440	Not Applicable	Not Applicable
"Total"	"Wyoming"	"56"	"2015"	"2015"			825	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2016"	"2016"	"Feb., 2016"	"2016/02"	402	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2016"	"2016"	"Mar., 2016"	"2016/03"	433	Not Applicable	Not Applicable
"Total"	"Wyoming"	"56"	"2016"	"2016"			835	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2017"	"2017"	"Feb., 2017"	"2017/02"	391	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2017"	"2017"	"Mar., 2017"	"2017/03"	434	Not Applicable	Not Applicable
"Total"	"Wyoming"	"56"	"2017"	"2017"			825	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2018"	"2018"	"Feb., 2018"	"2018/02"	407	Not Applicable	Not Applicable
	"Wyoming"	"56"	"2018"	"2018"	"Mar., 2018"	"2018/03"	467	Not Applicable	Not Applicable
"Total"	"Wyoming"	"56"	"2018"	"2018"			874	Not Applicable	Not Applicable
"Total"	"Wyoming"	"56"					4864	Not Applicable	Not Applicable
"Total"							2806359	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"Year/Month: Feb., 2013; Mar., 2013; Feb., 2014; Mar., 2014; Feb., 2015; Mar., 2015; Feb., 2016; Mar., 2016; Feb., 2017; Mar.,"
"2017; Feb., 2018; Mar., 2018"
"Group By: State; Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Apr 8, 2020 5:14:42 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Apr 8, 2020 5:14:42 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. These items in the results table are not fully selected: 2013, 2014, 2015, 2016, 2017, 2018. The Query Description lists the"
"actual values selected."
